tokenid,pageid,title,wordcount,image_url,image_name,extract
0,21378419,Bengali language,91110,https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/%E0%A6%AC%E0%A6%BE%E0%A6%82%E0%A6%B2%E0%A6%BE.svg/50px-%E0%A6%AC%E0%A6%BE%E0%A6%82%E0%A6%B2%E0%A6%BE.svg.png,,"


Bengali, also known by its endonym Bangla, is an Indo-Aryan language and the lingua franca of the Bengal region of the Indian subcontinent, spoken by the Bengalis in Bangladesh and India. It is the most widely spoken language of Bangladesh and second most widely spoken of the 22 scheduled languages of India, after Hindi. With approximately 228 million native speakers and another 37 million as second language speakers, Bengali is the fifth most-spoken native language and the seventh most spoken language by total number of speakers in the world.The official and de facto national language of Bangladesh is Modern Standard Bengali. It serves as the lingua franca of the nation, with 98% of Bangladeshis being ethnically Bengali and fluent in Bengali as their first language. Within India, Bengali is the official language of the states of West Bengal, Tripura and the Barak Valley region of the state of Assam. It is the most widely spoken language in the Andaman and Nicobar Islands in the Bay of Bengal, and is spoken by significant populations in other states including Arunachal Pradesh, Delhi, Chhattisgarh, Jharkhand, Meghalaya, Mizoram, Nagaland and Uttarakhand. Bengali is also spoken by the significant global Bengali diaspora (Bangladeshi diaspora and Indian Bengalis) communities in Pakistan, the United Kingdom, the United States, and the Middle East.Bengali has developed over the course of more than 1,300 years. Bengali literature, with its millennium-old literary history, has extensively developed since the Bengali Renaissance and is one of the most prolific and diverse literary traditions in Asia. The Bengali language movement from 1948 to 1956 demanding Bengali to be an official language of Pakistan fostered Bengali nationalism in East Bengal leading to the emergence of Bangladesh in 1971. In 1999, UNESCO recognised 21 February as International Mother Language Day in recognition of the language movement. The Bengali language is the quintessential element of Bengali identity and binds together a culturally diverse region.
"
1,10597,French language,106302,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/New-Map-Francophone_World.svg/50px-New-Map-Francophone_World.svg.png,New-Map-Francophone_World.svg,"French is a Romance language of the Indo-European family. It descended from the Vulgar Latin of the Roman Empire, as did all Romance languages. French evolved from Gallo-Romance, the Latin spoken in Gaul, and more specifically in Northern Gaul. Its closest relatives are the other langues d'oïl—languages historically spoken in northern France and in southern Belgium, which French (Francien) largely supplanted. French was also influenced by native Celtic languages of Northern Roman Gaul like Gallia Belgica and by the (Germanic) Frankish language of the post-Roman Frankish invaders. Today, owing to France's past overseas expansion, there are numerous French-based creole languages, most notably Haitian Creole. A French-speaking person or nation may be referred to as Francophone in both English and French.
A major world language, French is an official language in 29 countries across multiple continents, most of which are members of the Organisation internationale de la Francophonie (OIF), the community of 84 countries which share the official use or teaching of French. French is also one of six official languages used in the United Nations. It is spoken as a first language (in descending order of the number of speakers) in France, the Canadian provinces of Quebec, Ontario and New Brunswick as well as other Francophone regions, Belgium (Wallonia and the Brussels-Capital Region), western Switzerland (cantons of Bern, Fribourg, Geneva, Jura, Neuchâtel, Vaud, Valais), Monaco, partly in Luxembourg, the states of Louisiana, Maine, New Hampshire and Vermont in the United States, and in northwestern Italy (region of Aosta Valley), and by various communities elsewhere.In 2015, approximately 40% of the francophone population (including L2 and partial speakers) lived in Europe, 35% in sub-Saharan Africa, 15% in North Africa and the Middle East, 8% in the Americas, and 1% in Asia and Oceania. French is the second most widely spoken mother tongue in the European Union. Of Europeans who speak other languages natively, approximately one-fifth are able to speak French as a second language. French is the second most taught foreign language in the EU. All institutions of the EU use French as a working language along with English and German; in certain institutions, French is the sole working language (e.g. at the Court of Justice of the European Union). French is also the 18th most natively spoken language in the world, 6th most spoken language by total number of speakers and the second or third most studied language worldwide (with about 120 million current learners). As a result of French and Belgian colonialism from the 16th century onward, French was introduced to new territories in the Americas, Africa and Asia. Most second-language speakers reside in Francophone Africa, in particular Gabon, Algeria, Morocco, Tunisia, Mauritius, Senegal and Ivory Coast.French is estimated to have about 76 million native speakers and about 235 million daily, fluent speakers and another 77 to 110 million secondary speakers who speak it as a second language to varying degrees of proficiency, mainly in Africa. According to the OIF, approximately 300 million people worldwide are ""able to speak the language"", without specifying the criteria for this estimation or whom it encompasses. According to a demographic projection led by the University Laval and the Roseau Domographie de l'Agence universitaire de la Francophonie, the total number of French speakers will reach approximately 500 million in 2025 and 650 million by 2050. OIF estimates 700 million by 2050, 80% of whom will be in Africa.French has a long history as an international language of literature and scientific standards and is a primary or second language of many international organisations including the United Nations, the European Union, the North Atlantic Treaty Organization, the World Trade Organization, the International Olympic Committee, and the International Committee of the Red Cross. In 2011, Bloomberg Businessweek ranked French the third most useful language for business, after English and Standard Mandarin Chinese.

"
2,11884,German language,156731,https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/WIKITONGUES-_Gereon_speaking_German.webm/50px--WIKITONGUES-_Gereon_speaking_German.webm.jpg,WIKITONGUES-_Gereon_speaking_German.webm,"German is a West Germanic language that is mainly spoken in Central Europe. It is the most widely spoken and official or co-official language in Germany, Austria, Switzerland, South Tyrol in Italy, the German-speaking Community of Belgium, and Liechtenstein. It is one of the three official languages of Luxembourg and a co-official language in the Opole Voivodeship in Poland. The German language is most similar to other languages within the West Germanic language branch, including Afrikaans, Dutch, English, the Frisian languages, Low German/Low Saxon, Luxembourgish, and Yiddish. It also contains close similarities in vocabulary to Danish, Norwegian and Swedish, although they belong to the North Germanic group. German is the second most widely spoken Germanic language, after English.
One of the major languages of the world, German is a native language to almost 100 million people worldwide and the most widely spoken native language in the European Union. German is the third most commonly spoken foreign language in the EU after English and French, making it the second biggest language in the EU in terms of overall speakers. German is also the second most widely taught foreign language in the EU after English at primary school level (but third after English and French at lower secondary level), the fourth most widely taught non-English language in the US (after Spanish, French and American Sign Language), the second most commonly used scientific language and the third most widely used language on websites after English and Russian. The German-speaking countries are ranked fifth in terms of annual publication of new books, with one tenth of all books (including e-books) in the world being published in German. In the United Kingdom, German and French are the most sought-after foreign languages for businesses (with 49% and 50% of businesses identifying these two languages as the most useful, respectively).
German is an inflected language, with four cases for nouns, pronouns, and adjectives (nominative, accusative, genitive, dative); three genders (masculine, feminine, neuter); and two numbers (singular, plural). It also has strong and weak verbs. It derives the majority of its vocabulary from the ancient Germanic branch of the Indo-European language family. Some of its vocabulary is derived from Latin and Greek, and fewer words are borrowed from French and Modern English. German is a pluricentric language, with its standardized variants being German, Austrian, and Swiss Standard German. It is also notable for its broad spectrum of dialects, with many varieties existing in Europe and other parts of the world. Italy recognizes all the German-speaking minorities in its territory as national historic minorities and protects the varieties of German spoken in several regions of Northern Italy besides South Tyrol. Due to the limited intelligibility between certain varieties and Standard German, as well as the lack of an undisputed, scientific distinction between a ""dialect"" and a ""language"", some German varieties or dialect groups (e.g. Low German or Plautdietsch) can be described as either ""languages"" or ""dialects"".
"
3,143117,Gujarati language,57515,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Gujarati_Script_Sample.svg/50px-Gujarati_Script_Sample.svg.png,Gujarati_Script_Sample.svg," 


Gujarati Gujarati script: <span lang=""gu"">ગુજરાતી, romanized: <i lang=""gu-Latn"" title=""ISO 15919 Indic (Gujarati language) transliteration"">Gujarātī, pronounced <span title=""Representation in the International Phonetic Alphabet (IPA)"">[ɡudʒəˈɾɑːtiː]) is an Indo-Aryan language native to the Indian state of Gujarat and spoken predominantly by the Gujarati people. Gujarati is part of the greater Indo-European language family. Gujarati is descended from Old Gujarati (<abbr title=""circa"">c.</abbr> 1100–1500 CE). In India, it is the official language in the state of Gujarat, as well as an official language in the union territory of Dadra and Nagar Haveli and Daman and Diu. As of 2011, Gujarati is the 6th most widely spoken language in India by number of native speakers, spoken by 55.5 million speakers which amounts to about 4.5% of the total Indian population. It is the 26th most widely spoken language in the world by number of native speakers as of 2007.The Gujarati language is more than 700 years old and is spoken by more than 55 million people worldwide. Outside of Gujarat, Gujarati is spoken in many other parts of South Asia by Gujarati migrants, especially in Mumbai and Pakistan (mainly in Karachi). Gujarati is also widely spoken in many countries outside South Asia by the Gujarati diaspora. In North America, Gujarati is one of the fastest growing and most widely spoken Indian languages in the United States and Canada. In Europe, Gujaratis form the second largest of the British South Asian speech communities, and Gujarati is the fourth most commonly spoken language in the UK's capital London. Gujarati is also spoken in Southeast Africa, particularly in Kenya, Uganda, Tanzania, Zambia, and South Africa. Elsewhere, Gujarati is spoken to a lesser extent in China (particularly Hong Kong), Indonesia, Singapore, Australia, and Middle Eastern countries such as Bahrain.


"
4,13450,Hebrew language,92539,https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Temple_Scroll.png/45px-Temple_Scroll.png,Temple_Scroll.png,"


Hebrew (<link rel=""mw-deduplicated-inline-style"" href=""mw-data:TemplateStyles:r974759091""><span dir=""rtl"">עִבְרִית‎, Ivrit , IPA: <span title=""Representation in the International Phonetic Alphabet (IPA)"">[ivˈʁit] or <span title=""Representation in the International Phonetic Alphabet (IPA)"">[ʕivˈɾit]) is a Northwest Semitic language native to Israel. In 2013, Modern Hebrew was spoken by over nine million people worldwide. Historically, it is regarded as the language of the Israelites, Judeans and their ancestors, although the language was not referred to by the name ""Hebrew"" in the Tanakh itself. The Mishnah Megillah refers to the Hebrew language as Ashurit meaning Assyrian, which is a metonym derived from the name of the alphabet. The earliest examples of written Paleo-Hebrew date to the 10th century BCE. Hebrew belongs to the Northwest Semitic branch of the Afroasiatic language family, and is the only Canaanite language still spoken and the only truly successful example of a revived dead language, and one of only two Northwest Semitic languages still spoken, the other being Aramaic, which is spoken primarily by Christian Assyrians and Syriac-Arameans, the Gnostic Mandeans as well as some Near Eastern Jews.Hebrew ceased to be an everyday spoken language somewhere between 200 and 400 CE, declining since the aftermath of the Bar Kokhba revolt. Aramaic and, to a lesser extent, Greek were already in use as international languages, especially among elites and immigrants. Hebrew survived into the medieval period as the language of Jewish liturgy, rabbinic literature, intra-Jewish commerce and poetry. With the rise of national consciousness among Jews in the 19th century, it was revived as a spoken and literary language, becoming the main language of the Yishuv and subsequently of the State of Israel. According to Ethnologue, in 1998, Hebrew was the language of five million people worldwide. After Israel, the United States has the second largest Hebrew-speaking population, with about 220,000 fluent speakers, mostly from Israel.
Modern Hebrew is the official language of the State of Israel, while premodern Hebrew is used for prayer or study in Jewish communities around the world today. The Samaritan dialect is also the liturgical tongue of the Samaritans, while modern Hebrew or Arabic is their vernacular. As a foreign language, it is studied mostly by Jews and students of Judaism and Israel and by archaeologists and linguists specializing in the Middle East and its civilizations, as well as by theologians in Christian seminaries.
Nearly all of the Hebrew Bible is written in Biblical Hebrew, with much of its present form in the dialect that scholars believe flourished around the 6th century BCE, around the time of the Babylonian captivity. For this reason, Hebrew has been referred to by Jews as Lashon Hakodesh (<span lang=""he"" dir=""rtl"" title=""Hebrew language text"">לשון הקודש), ""the holy language"" or ""the language of holiness"", since ancient times. The Mishnah Megillah refers to the Hebrew language as ""Ashurit"". Joel Manuel Hoffman states, ""However, Megillah 17a (again in Hebrew) refers to a 'foreigner who heard [the Megillah] in Ashurit.' Here it looks like Ashurit refers to the Hebrew language, particularly in light of the point of the passage, which is that the foreigner who hears the Megillah in Ashurit has fulfilled his holy obligation to hear the Megillah, having heard it in a holy language."""
5,17524,Language,129569,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Tepantitla_mural%2C_Ballplayer_A_%28Daquella_manera%29.jpg/50px-Tepantitla_mural%2C_Ballplayer_A_%28Daquella_manera%29.jpg,"Tepantitla_mural,_Ballplayer_A_(Daquella_manera).jpg","






A language is a structured system of communication. Language, in a broader sense, is the method of communication that involves the use of – particularly human – languages.The scientific study of language is called linguistics. Questions concerning the philosophy of language, such as whether words can represent experience, have been debated at least since Gorgias and Plato in ancient Greece. Thinkers such as Rousseau have argued that language originated from emotions while others like Kant have held that it originated from rational and logical thought. Twentieth century philosophers such as Wittgenstein argued that philosophy is really the study of language. Major figures in linguistics include Ferdinand de Saussure and Noam Chomsky.
Estimates of the number of human languages in the world vary between 5,000 and 7,000. However, any precise estimate depends on the arbitrary distinction (dichotomy) between languages and dialect. Natural languages are spoken or signed, but any language can be encoded into secondary media using auditory, visual, or tactile stimuli – for example, in writing, whistling, signing, or braille. This is because human language is modality-independent. Depending on philosophical perspectives regarding the definition of language and meaning, when used as a general concept, ""language"" may refer to the cognitive ability to learn and use systems of complex communication, or to describe the set of rules that makes up these systems, or the set of utterances that can be produced from those rules. All languages rely on the process of semiosis to relate signs to particular meanings. Oral, manual and tactile languages contain a phonological system that governs how symbols are used to form sequences known as words or morphemes, and a syntactic system that governs how words and morphemes are combined to form phrases and utterances.
Human language has the properties of productivity and displacement, and relies entirely on social convention and learning. Its complex structure affords a much wider range of expressions than any known system of animal communication. Language is thought to have originated when early hominins started gradually changing their primate communication systems, acquiring the ability to form a theory of other minds and a shared intentionality. This development is sometimes thought to have coincided with an increase in brain volume, and many linguists see the structures of language as having evolved to serve specific communicative and social functions. Language is processed in many different locations in the human brain, but especially in Broca's and Wernicke's areas. Humans acquire language through social interaction in early childhood, and children generally speak fluently by approximately three years old. The use of language is deeply entrenched in human culture. Therefore, in addition to its strictly communicative uses, language also has many social and cultural uses, such as signifying group identity, social stratification, as well as social grooming and entertainment.
Languages evolve and diversify over time, and the history of their evolution can be reconstructed by comparing modern languages to determine which traits their ancestral languages must have had in order for the later developmental stages to occur. A group of languages that descend from a common ancestor is known as a language family. A language that has been demonstrated to not have any living or non-living relationship with another language is called a language isolate. Languages whose relationships have not been established are unclassified. Academic consensus holds that between 50% and 90% of languages spoken at the beginning of the 21st century will probably have become extinct by the year 2100."
6,701320,Languages of Canada,106034,https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/KB_United_States-NoAltGr.svg/50px-KB_United_States-NoAltGr.svg.png,KB_United_States-NoAltGr.svg,"A multitude of languages are used in Canada. According to the 2016 census, English and French are the mother tongues of 56.0% and 21.4% of Canadians respectively. In total 86.2% of Canadians have working knowledge of English while 29.8% have a working knowledge of French. Under the Official Languages Act of 1969, both English and French have official federal status throughout Canada, in respect of all government services, including the courts, and all federal legislation is enacted bilingually. New Brunswick is the only Canadian province that has both English and French as its official languages to the same extent, with constitutional entrenchment. Quebec's official language is French, although, in that province, the Constitution requires that all legislation be enacted in both French and English, and court proceedings may be conducted in either language. Similar constitutional protections are in place in Manitoba, where English is the official language.
Canada's Official Languages Commissioner (the federal government official charged with monitoring the two languages) has stated, ""[I]n the same way that race is at the core of what it means to be American and at the core of an American experience and class is at the core of British experience, I think that language is at the core of Canadian experience."" To assist in more accurately monitoring the two official languages, Canada's census collects a number of demolinguistic descriptors not enumerated in the censuses of most other countries, including home language, mother tongue, first official language and language of work.
Canada's linguistic diversity extends beyond the two official languages. ""In Canada, 4.7 million people (14.2% of the population) reported speaking a language other than English or French most often at home and 1.9 million people (5.8%) reported speaking such a language on a regular basis as a second language (in addition to their main home language, English or French). In all, 20.0% of Canada's population reported speaking a language other than English or French at home. For roughly 6.4 million people, the other language was an immigrant language, spoken most often or on a regular basis at home, alone or together with English or French whereas for more than 213,000 people, the other language was an Aboriginal language. Finally, the number of people reporting sign languages as the languages spoken at home was nearly 25,000 people (15,000 most often and 9,800 on a regular basis).""Canada is also home to many indigenous languages. Taken together, these are spoken by less than one percent of the population. About 0.6% Canadians (or 200,725 people) report an Indigenous language as their mother tongue.


"
7,275047,Languages of India,101220,https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/South_Asian_Language_Families.jpg/46px-South_Asian_Language_Families.jpg,South_Asian_Language_Families.jpg,"





Languages spoken in India belong to several language families, the major ones being the Indo-Aryan languages spoken by 78.05% of Indians and the Dravidian languages spoken by 19.64% of Indians. Languages spoken by the remaining 2.31% of the population belong to the Austroasiatic, Sino-Tibetan, Tai-Kadai and a few other minor language families and isolates. India has the world's fourth highest number of languages (427), after Nigeria (524), Indonesia (710) and Papua New Guinea (840).Article 343 of the Indian constitution stated that the official language of the Union is Hindi in Devanagari script instead of the extant English. Later, a constitutional amendment, The Official Languages Act, 1963, allowed for the continuation of English alongside Hindi in the Indian government indefinitely until legislation decides to change it. The form of numerals to be used for the official purposes of the Union are ""the international form of Indian numerals"", which are referred to as Arabic numerals in most English-speaking countries. Despite the misconceptions, Hindi is not the national language of India; the Constitution of India does not give any language the status of national language.The Eighth Schedule of the Indian Constitution lists 22 languages, which have been referred to as scheduled languages and given recognition, status and official encouragement. In addition, the Government of India has awarded the distinction of classical language to Kannada, Malayalam, Odia, Sanskrit, Tamil and Telugu. Classical language status is given to languages which have a rich heritage and independent nature.
According to the Census of India of 2001, India has 122 major languages and 1599 other languages. However, figures from other sources vary, primarily due to differences in definition of the terms ""language"" and ""dialect"". The 2001 Census recorded 30 languages which were spoken by more than a million native speakers and 122 which were spoken by more than 10,000 people. Two contact languages have played an important role in the history of India: Persian and English. Persian was the court language during the Mughal period in India. It reigned as an administrative language for several centuries until the era of British colonisation. English continues to be an important language in India. It is used in higher education and in some areas of the Indian government. Hindi, the most commonly spoken language in India today, serves as the lingua franca across much of North and Central India. Bengali is the second most spoken and understood language in the country with a significant amount of speakers in Eastern and North- eastern regions. Marathi is the third most spoken and understood language in the country with a significant amount of speakers in South-Western regions. However, there have been concerns raised with Hindi being imposed in South India, most notably in the state of Tamil Nadu and Karnataka. Maharashtra, West Bengal, Assam, Punjab and other non-Hindi regions have also started to voice concerns about Hindi.


"
8,3482311,Languages of Spain,17517,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ae/Spain_languages.svg/50px-Spain_languages.svg.png,Spain_languages.svg,"

The languages of Spain (Spanish: <i lang=""es"">lenguas de España), or Spanish languages (Spanish: <i lang=""es"">lenguas españolas), are the languages spoken or once spoken in Spain. Most languages spoken in Spain belong to the Romance language family, of which Spanish is the only language which has official status for the whole country. Various other languages have co-official or recognised status in specific territories, and a number of unofficial languages and dialects are spoken in certain localities.
"
9,330788,Languages of the United Kingdom,74252,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Distribution_map_of_languages_in_the_United_Kingdom.svg/50px-Distribution_map_of_languages_in_the_United_Kingdom.svg.png,Distribution_map_of_languages_in_the_United_Kingdom.svg,"

English, in various dialects, is the most widely spoken language of the United Kingdom, however there are a number of regional languages also spoken. There are 14 indigenous languages used across the British Isles: 5 Celtic, 3 Germanic, 3 Romance, and 3 sign languages. There are also many languages spoken by people who arrived more recently in the British Isles, mainly within inner city areas; these languages are mainly from South Asia, Eastern and Western Europe.The de facto official language of the United Kingdom is English, which is spoken by approximately 59.8 million residents, or 98% of the population, over the age of three. (According to 2011 census data, 864,000 people in England and Wales reported speaking little or no English.) An estimated 900,000 people speak Welsh in the UK, an official language in Wales and the only de jure official language in any part of the UK. Approximately 1.5 million people in the UK speak Scots—although there is debate as to whether this is a distinct language, or a variety of English.


"
